CMDLINE /home/msys/venvs/flaskproj/bin/python3 mongo.py
MEM 1.324219 1524468864.2994
MEM 18.273438 1524468864.3998
MEM 29.285156 1524468864.5001
MEM 29.667969 1524468864.6004
MEM 29.667969 1524468864.7007
MEM 29.667969 1524468864.8011
MEM 29.667969 1524468864.9015
MEM 29.667969 1524468865.0019
MEM 29.667969 1524468865.1023
MEM 29.667969 1524468865.2027
MEM 29.667969 1524468865.3031
MEM 29.667969 1524468865.4035
MEM 29.679688 1524468865.5039
MEM 29.679688 1524468865.6043
MEM 29.679688 1524468865.7046
MEM 29.679688 1524468865.8050
MEM 29.679688 1524468865.9053
MEM 29.679688 1524468866.0058
MEM 29.679688 1524468866.1060
MEM 29.679688 1524468866.2064
MEM 29.679688 1524468866.3068
MEM 29.679688 1524468866.4072
MEM 29.679688 1524468866.5076
MEM 29.679688 1524468866.6081
MEM 29.679688 1524468866.7084
MEM 29.679688 1524468866.8088
MEM 29.679688 1524468866.9092
MEM 29.679688 1524468867.0096
MEM 29.679688 1524468867.1100
MEM 29.679688 1524468867.2104
MEM 29.679688 1524468867.3109
MEM 29.679688 1524468867.4113
MEM 29.679688 1524468867.5116
MEM 29.679688 1524468867.6120
MEM 29.679688 1524468867.7124
MEM 29.679688 1524468867.8128
MEM 29.679688 1524468867.9132
MEM 29.679688 1524468868.0136
MEM 29.679688 1524468868.1140
MEM 29.679688 1524468868.2144
MEM 29.679688 1524468868.3148
MEM 29.679688 1524468868.4152
MEM 29.679688 1524468868.5156
MEM 29.679688 1524468868.6159
MEM 29.679688 1524468868.7163
MEM 29.679688 1524468868.8167
MEM 29.679688 1524468868.9171
MEM 29.679688 1524468869.0175
MEM 29.679688 1524468869.1179
MEM 29.679688 1524468869.2184
MEM 29.679688 1524468869.3189
MEM 29.679688 1524468869.4194
MEM 29.679688 1524468869.5198
MEM 29.679688 1524468869.6203
MEM 29.679688 1524468869.7207
MEM 29.679688 1524468869.8212
MEM 29.679688 1524468869.9217
MEM 29.679688 1524468870.0221
MEM 29.679688 1524468870.1226
MEM 29.679688 1524468870.2231
MEM 29.679688 1524468870.3235
MEM 29.679688 1524468870.4239
MEM 29.679688 1524468870.5243
MEM 29.679688 1524468870.6247
MEM 29.679688 1524468870.7251
MEM 29.679688 1524468870.8255
MEM 29.679688 1524468870.9259
MEM 29.679688 1524468871.0264
MEM 29.679688 1524468871.1268
MEM 29.679688 1524468871.2272
MEM 29.679688 1524468871.3277
MEM 29.679688 1524468871.4280
MEM 29.679688 1524468871.5285
MEM 29.679688 1524468871.6289
MEM 29.679688 1524468871.7293
MEM 29.679688 1524468871.8297
MEM 29.679688 1524468871.9301
MEM 29.679688 1524468872.0305
MEM 29.679688 1524468872.1309
MEM 29.679688 1524468872.2313
MEM 29.679688 1524468872.3316
MEM 29.679688 1524468872.4320
MEM 29.679688 1524468872.5324
MEM 29.679688 1524468872.6327
MEM 29.679688 1524468872.7331
MEM 29.679688 1524468872.8336
MEM 29.679688 1524468872.9341
MEM 29.679688 1524468873.0345
MEM 29.679688 1524468873.1350
MEM 29.679688 1524468873.2354
MEM 29.679688 1524468873.3359
MEM 29.679688 1524468873.4363
MEM 29.679688 1524468873.5367
MEM 29.679688 1524468873.6370
MEM 29.679688 1524468873.7374
MEM 29.679688 1524468873.8378
MEM 29.679688 1524468873.9382
MEM 29.679688 1524468874.0386
MEM 29.679688 1524468874.1390
MEM 29.679688 1524468874.2393
MEM 29.679688 1524468874.3397
MEM 29.679688 1524468874.4402
MEM 29.683594 1524468874.5409
MEM 29.683594 1524468874.6415
MEM 29.683594 1524468874.7420
MEM 29.683594 1524468874.8424
MEM 29.683594 1524468874.9428
MEM 29.683594 1524468875.0432
MEM 29.683594 1524468875.1435
MEM 29.683594 1524468875.2439
MEM 29.683594 1524468875.3443
MEM 29.683594 1524468875.4447
MEM 29.683594 1524468875.5451
MEM 29.683594 1524468875.6455
MEM 29.683594 1524468875.7459
MEM 29.683594 1524468875.8462
MEM 29.683594 1524468875.9467
MEM 29.683594 1524468876.0471
MEM 29.683594 1524468876.1475
MEM 29.683594 1524468876.2478
MEM 29.683594 1524468876.3482
MEM 29.683594 1524468876.4486
MEM 29.683594 1524468876.5489
MEM 29.683594 1524468876.6518
MEM 29.683594 1524468876.7521
MEM 29.683594 1524468876.8526
MEM 29.683594 1524468876.9530
MEM 29.683594 1524468877.0536
MEM 29.683594 1524468877.1540
MEM 29.683594 1524468877.2545
MEM 29.683594 1524468877.3550
MEM 29.683594 1524468877.4554
MEM 29.683594 1524468877.5559
MEM 29.683594 1524468877.6563
MEM 29.683594 1524468877.7566
MEM 29.683594 1524468877.8571
MEM 29.683594 1524468877.9577
MEM 29.683594 1524468878.0581
MEM 29.683594 1524468878.1586
MEM 29.683594 1524468878.2590
MEM 29.683594 1524468878.3595
MEM 29.683594 1524468878.4600
MEM 29.683594 1524468878.5605
MEM 29.683594 1524468878.6609
MEM 29.683594 1524468878.7614
MEM 29.683594 1524468878.8618
MEM 29.683594 1524468878.9622
MEM 29.683594 1524468879.0626
MEM 29.683594 1524468879.1631
MEM 29.683594 1524468879.2636
MEM 29.683594 1524468879.3641
MEM 29.683594 1524468879.4646
MEM 29.683594 1524468879.5650
MEM 29.683594 1524468879.6656
MEM 29.683594 1524468879.7661
MEM 29.683594 1524468879.8665
MEM 29.683594 1524468879.9670
MEM 29.683594 1524468880.0674
MEM 29.683594 1524468880.1678
MEM 29.683594 1524468880.2682
MEM 29.683594 1524468880.3686
MEM 29.683594 1524468880.4690
MEM 29.683594 1524468880.5695
MEM 29.683594 1524468880.6699
MEM 29.683594 1524468880.7704
MEM 29.683594 1524468880.8708
MEM 29.683594 1524468880.9712
MEM 29.683594 1524468881.0717
MEM 29.683594 1524468881.1721
MEM 29.683594 1524468881.2726
MEM 29.683594 1524468881.3731
MEM 29.683594 1524468881.4736
MEM 29.683594 1524468881.5740
MEM 29.683594 1524468881.6745
MEM 29.683594 1524468881.7749
MEM 29.683594 1524468881.8754
MEM 29.683594 1524468881.9759
MEM 29.683594 1524468882.0763
MEM 29.683594 1524468882.1768
MEM 29.683594 1524468882.2773
MEM 29.683594 1524468882.3777
MEM 29.683594 1524468882.4781
MEM 29.683594 1524468882.5785
MEM 29.683594 1524468882.6789
MEM 29.683594 1524468882.7794
MEM 29.683594 1524468882.8798
MEM 29.683594 1524468882.9803
MEM 29.683594 1524468883.0808
MEM 29.683594 1524468883.1813
MEM 29.683594 1524468883.2817
MEM 29.683594 1524468883.3822
MEM 29.683594 1524468883.4827
MEM 29.683594 1524468883.5832
MEM 29.683594 1524468883.6838
MEM 29.683594 1524468883.7843
MEM 29.683594 1524468883.8848
MEM 29.683594 1524468883.9853
MEM 29.683594 1524468884.0858
MEM 29.683594 1524468884.1863
MEM 29.683594 1524468884.2868
MEM 29.683594 1524468884.3873
MEM 29.683594 1524468884.4877
MEM 29.683594 1524468884.5882
MEM 29.683594 1524468884.6887
MEM 29.683594 1524468884.7892
MEM 29.683594 1524468884.8898
MEM 29.683594 1524468884.9902
MEM 29.683594 1524468885.0907
MEM 29.683594 1524468885.1911
MEM 29.683594 1524468885.2916
MEM 29.683594 1524468885.3921
MEM 29.683594 1524468885.4926
MEM 29.683594 1524468885.5930
MEM 29.683594 1524468885.6935
MEM 29.683594 1524468885.7940
MEM 29.683594 1524468885.8945
MEM 29.683594 1524468885.9949
MEM 29.683594 1524468886.0953
MEM 29.683594 1524468886.1957
MEM 29.683594 1524468886.2961
MEM 29.683594 1524468886.3965
MEM 29.683594 1524468886.4968
MEM 29.683594 1524468886.5973
MEM 29.683594 1524468886.6978
MEM 29.683594 1524468886.7982
MEM 29.683594 1524468886.8987
MEM 29.683594 1524468886.9991
MEM 29.683594 1524468887.0996
MEM 29.683594 1524468887.1999
MEM 29.683594 1524468887.3003
MEM 29.683594 1524468887.4007
MEM 29.683594 1524468887.5011
MEM 29.683594 1524468887.6015
MEM 29.683594 1524468887.7018
MEM 29.683594 1524468887.8022
MEM 29.683594 1524468887.9026
MEM 29.683594 1524468888.0030
MEM 29.683594 1524468888.1033
MEM 29.683594 1524468888.2037
MEM 29.683594 1524468888.3041
MEM 29.683594 1524468888.4044
MEM 29.683594 1524468888.5048
MEM 29.683594 1524468888.6052
MEM 29.683594 1524468888.7056
MEM 29.683594 1524468888.8060
MEM 29.683594 1524468888.9064
MEM 29.683594 1524468889.0068
MEM 29.683594 1524468889.1071
MEM 29.683594 1524468889.2075
MEM 29.683594 1524468889.3080
MEM 29.683594 1524468889.4084
MEM 29.683594 1524468889.5088
MEM 29.683594 1524468889.6091
MEM 29.683594 1524468889.7096
MEM 29.683594 1524468889.8101
MEM 29.683594 1524468889.9105
MEM 29.683594 1524468890.0110
MEM 29.683594 1524468890.1115
MEM 29.683594 1524468890.2120
MEM 29.683594 1524468890.3124
MEM 29.683594 1524468890.4128
MEM 29.683594 1524468890.5132
MEM 29.683594 1524468890.6137
MEM 29.683594 1524468890.7141
MEM 29.683594 1524468890.8146
MEM 29.683594 1524468890.9150
MEM 29.683594 1524468891.0153
MEM 29.683594 1524468891.1157
MEM 29.683594 1524468891.2162
MEM 29.683594 1524468891.3166
MEM 29.683594 1524468891.4170
MEM 29.683594 1524468891.5175
MEM 29.683594 1524468891.6180
MEM 29.683594 1524468891.7184
MEM 29.683594 1524468891.8189
MEM 29.683594 1524468891.9194
MEM 29.683594 1524468892.0198
MEM 29.683594 1524468892.1202
MEM 29.683594 1524468892.2206
MEM 29.683594 1524468892.3210
MEM 29.683594 1524468892.4215
MEM 29.683594 1524468892.5219
