CMDLINE python3 mongo.py
MEM 1.222656 1524473575.4906
MEM 13.988281 1524473575.5910
MEM 25.949219 1524473575.6913
MEM 29.531250 1524473575.7916
MEM 29.531250 1524473575.8919
MEM 29.531250 1524473575.9923
MEM 29.531250 1524473576.0927
MEM 29.531250 1524473576.1931
MEM 29.558594 1524473576.2935
MEM 29.558594 1524473576.3939
MEM 29.558594 1524473576.4944
MEM 29.558594 1524473576.5948
MEM 29.558594 1524473576.6952
MEM 29.578125 1524473576.7957
MEM 29.578125 1524473576.8960
MEM 29.578125 1524473576.9965
MEM 29.578125 1524473577.0970
MEM 29.578125 1524473577.1975
MEM 29.578125 1524473577.2980
MEM 29.578125 1524473577.3984
MEM 29.578125 1524473577.4989
MEM 29.578125 1524473577.5993
MEM 29.578125 1524473577.6998
MEM 29.578125 1524473577.8003
MEM 29.578125 1524473577.9007
MEM 29.578125 1524473578.0011
MEM 29.578125 1524473578.1015
MEM 29.578125 1524473578.2019
MEM 29.578125 1524473578.3023
MEM 29.578125 1524473578.4028
MEM 29.578125 1524473578.5032
MEM 29.578125 1524473578.6036
MEM 29.578125 1524473578.7040
MEM 29.578125 1524473578.8044
MEM 29.578125 1524473578.9048
MEM 29.578125 1524473579.0053
MEM 29.578125 1524473579.1057
MEM 29.578125 1524473579.2061
MEM 29.578125 1524473579.3065
MEM 29.578125 1524473579.4069
MEM 29.578125 1524473579.5073
MEM 29.578125 1524473579.6078
MEM 29.578125 1524473579.7082
MEM 29.578125 1524473579.8087
MEM 29.578125 1524473579.9091
MEM 29.578125 1524473580.0096
MEM 29.578125 1524473580.1099
MEM 29.578125 1524473580.2103
MEM 29.578125 1524473580.3107
MEM 29.578125 1524473580.4111
MEM 29.578125 1524473580.5115
MEM 29.578125 1524473580.6119
MEM 29.578125 1524473580.7123
MEM 29.578125 1524473580.8128
MEM 29.578125 1524473580.9133
MEM 29.578125 1524473581.0138
MEM 29.578125 1524473581.1142
MEM 29.578125 1524473581.2146
MEM 29.578125 1524473581.3150
MEM 29.578125 1524473581.4154
MEM 29.578125 1524473581.5158
MEM 29.578125 1524473581.6163
MEM 29.578125 1524473581.7167
MEM 29.578125 1524473581.8171
MEM 29.578125 1524473581.9176
MEM 29.578125 1524473582.0180
MEM 29.578125 1524473582.1184
MEM 29.578125 1524473582.2188
MEM 29.578125 1524473582.3192
MEM 29.578125 1524473582.4196
MEM 29.578125 1524473582.5200
MEM 29.578125 1524473582.6205
MEM 29.578125 1524473582.7209
MEM 29.578125 1524473582.8215
MEM 29.578125 1524473582.9219
MEM 29.578125 1524473583.0223
MEM 29.578125 1524473583.1227
MEM 29.578125 1524473583.2232
MEM 29.578125 1524473583.3236
MEM 29.578125 1524473583.4240
MEM 29.578125 1524473583.5244
MEM 29.578125 1524473583.6248
MEM 29.578125 1524473583.7252
MEM 29.578125 1524473583.8257
MEM 29.578125 1524473583.9261
MEM 29.578125 1524473584.0266
MEM 29.578125 1524473584.1270
MEM 29.578125 1524473584.2274
MEM 29.578125 1524473584.3278
MEM 29.578125 1524473584.4283
MEM 29.578125 1524473584.5287
MEM 29.578125 1524473584.6291
MEM 29.578125 1524473584.7295
MEM 29.578125 1524473584.8299
MEM 29.578125 1524473584.9303
MEM 29.578125 1524473585.0308
MEM 29.578125 1524473585.1312
MEM 29.578125 1524473585.2317
MEM 29.578125 1524473585.3321
MEM 29.578125 1524473585.4325
MEM 29.578125 1524473585.5329
MEM 29.578125 1524473585.6334
MEM 29.578125 1524473585.7339
MEM 29.585938 1524473585.8344
MEM 29.585938 1524473585.9348
